phase,kind,step,train_loss,valid_loss,wall_s
adam_r1,iter,33,0.05345440002733385,0.05500187595721849,2840.6838064193726
adam_r1,iter,34,0.05010848328196691,0.05172313229605467,2849.7516322135925
adam_r1,iter,35,0.04562960451820838,0.047249987037566304,2858.757842063904
adam_r1,iter,36,0.04159932412252753,0.04324925526288889,2867.46168756485
adam_r1,iter,37,0.03830791324751741,0.03996801794570589,2875.8923411369324
adam_r1,iter,38,0.035896658795867974,0.037548918840111675,2884.5363595485687
adam_r1,iter,39,0.03305699234383663,0.034757475161678035,2893.367422103882
adam_r1,iter,40,0.030336783108183895,0.032057215012411,2901.7897017002106
adam_r1,iter,41,0.02841503747669972,0.030121096792083864,2910.1656234264374
adam_r1,iter,42,0.025897482815484586,0.02761781193934154,2918.5788497924805
adam_r1,iter,43,0.02378198045688123,0.02552153874961771,2926.461006641388
adam_r1,iter,44,0.022603918961651856,0.0243436987701011,2935.521513938904
adam_r1,iter,45,0.0210051280563506,0.02273323772223729,2943.0985350608826
adam_r1,iter,46,0.019405746058119476,0.02112909811315893,2950.9029064178467
adam_r1,iter,47,0.01869206550625339,0.020411957923667474,2958.787164926529
adam_r1,iter,48,0.017684951818298853,0.01939392507545088,2966.971992969513
adam_r1,iter,49,0.016654258421303497,0.01837192018344732,2975.1328978538513
adam_r1,iter,50,0.015897954641054358,0.01762677079665217,2983.00533246994
adam_r1,iter,51,0.014940433181800841,0.016667114228582403,2991.149189710617
adam_r1,iter,52,0.014185023135929776,0.01592346374488045,2999.52131319046
adam_r1,iter,53,0.013501684768594074,0.015260328169595935,3007.6648693084717
